objectid,wd17cd,ward_name,bng_e,bng_n,lng,lat,st_areashape,st_lengthshape
8455,W05000230,Sealand,334211,368879,-2.98659992,53.21289063,0.00269319,0.28423996
8456,W05000231,Shotton East,331077,368649,-3.03346992,53.21043015,9.98E-05,0.054784644
8457,W05000232,Shotton Higher,330965,368058,-3.03502011,53.20510101,9.76E-05,0.047644505
8458,W05000233,Shotton West,330398,368723,-3.04364991,53.21099854,0.000117038,0.060079535
8459,W05000234,Trelawnyd and Gwaenysgor,310392,380159,-3.34635997,53.31076813,0.002423155,0.331536358
8460,W05000235,Treuddyn,324450,357196,-3.12997007,53.10659027,0.00196484,0.294881859
8461,W05000236,Whitford,312725,377662,-3.3106699,53.28871918,0.002888494,0.327274247
8462,W05000237,Acton,334229,351943,-2.98285007,53.06068039,0.000118566,0.046619689
8463,W05000238,Borras Park,334800,352226,-2.97439003,53.06328964,8.19E-05,0.043473024
8464,W05000239,Bronington,347115,342453,-2.78903008,52.97681046,0.008674877,0.855125465
8465,W05000241,Brynyffynnon,332305,350273,-3.01119995,53.04542923,0.000331016,0.096821993
8466,W05000244,Cefn,326827,343956,-3.09145999,52.9879303,0.001020749,0.249433233
8467,W05000245,Dyffryn Ceiriog/Ceiriog Valley,317054,335462,-3.23483992,52.91017151,0.015156371,0.724844944
8468,W05000246,Chirk North,329795,340231,-3.0464499,52.95484924,0.000740746,0.198382435
8469,W05000247,Chirk South,328114,338881,-3.07117009,52.94248962,0.001812256,0.298091024
8470,W05000249,Erddig,333449,349154,-2.99391007,53.03551865,0.000121139,0.067840275
8471,W05000250,Esclusham,331401,349064,-3.02443004,53.03445053,0.000295393,0.114866094
8472,W05000251,Garden Village,333546,352299,-2.99310994,53.06380081,7.56E-05,0.043919607
8473,W05000253,Grosvenor,333104,351060,-2.99944997,53.05260086,0.000140148,0.058199458
8474,W05000254,Gwenfro,330317,351637,-3.04115009,53.05743027,0.000120179,0.071903343
8475,W05000256,Gwersyllt North,330999,354787,-3.03165007,53.08583069,0.000302512,0.091693739
8476,W05000257,Gwersyllt West,331532,352573,-3.02322006,53.06600189,0.00022283,0.076090507
8477,W05000258,Hermitage,334027,349219,-2.98530006,53.03617096,9.25E-05,0.050323753
8478,W05000260,Johnstown,330272,345828,-3.04056001,53.00521851,0.000144926,0.054298716
8479,W05000261,Little Acton,334027,352683,-2.98602009,53.06731033,7.08E-05,0.037057484
8480,W05000262,Llangollen Rural,326209,342894,-3.10042,52.97829819,0.000713148,0.239869619
8481,W05000263,Llay,333204,355370,-2.99885988,53.09135056,0.001219884,0.18310557
8482,W05000264,Maesydre,334018,350930,-2.98579001,53.05155182,9.04E-05,0.044896085
8483,W05000265,Marchwiel,335581,345251,-2.96133995,53.0007019,0.005049032,0.585602299
8484,W05000266,Marford and Hoseley,336263,355181,-2.95315003,53.09003067,0.000421275,0.096493221
8485,W05000268,New Broughton,331389,351254,-3.02506995,53.05413055,0.000228569,0.095874373
8486,W05000269,Offa,332788,349515,-3.00383997,53.03868103,0.000106631,0.065607899
8487,W05000270,Overton,345116,338844,-2.8181901,52.94417191,0.007393462,0.669554354
8488,W05000271,Pant,329271,345925,-3.05549002,53.00595856,9.76E-05,0.051388776
8489,W05000272,Penycae,327671,346152,-3.07939005,53.00777817,0.000206461,0.115620521
8490,W05000273,Penycae and Ruabon South,327884,344833,-3.0759201,52.99596024,0.004262678,0.54104154
8491,W05000274,Plas Madoc,328798,343221,-3.06194997,52.98159027,5.52E-05,0.037634112
8492,W05000275,Ponciau,328672,348290,-3.06493998,53.02713013,0.002496876,0.336218153
8493,W05000276,Queensway,335011,349817,-2.97075009,53.04167175,6.60E-05,0.041251129
8494,W05000278,Rossett,337297,356901,-2.93805003,53.10560989,0.003432999,0.38751001
8495,W05000279,Ruabon,331687,344904,-3.01927996,52.99710083,0.001190405,0.205336707
8496,W05000280,Smithfield,334094,350270,-2.98451996,53.04563141,7.73E-05,0.041902794
8497,W05000281,Stansty,333149,352175,-2.99901009,53.0626297,7.91E-05,0.048070406
8498,W05000283,Wynnstay,334629,350606,-2.97660995,53.04870987,6.33E-05,0.035367612
8499,W05000284,Aber-craf,280932,212426,-3.72806001,51.79777145,0.001252989,0.208984009
8500,W05000285,Banwy,299087,311074,-3.49438,52.68793106,0.020373572,0.753383642
8501,W05000286,Beguildy,312697,277981,-3.28437996,52.39287186,0.025491935,1.078522456
8502,W05000287,Berriew,315868,300330,-3.24343991,52.59423828,0.006262647,0.482847384
8503,W05000288,Blaen Hafren,290089,284783,-3.61872005,52.44992065,0.03557863,1.185402662
8504,W05000289,Bronllys,307378,241043,-3.35240006,52.06000137,0.009181304,0.726236604
8505,W05000290,Builth,303831,250535,-3.40680003,52.14471054,0.000393495,0.1249805
8506,W05000291,Bwlch,317489,223334,-3.20069003,51.90242004,0.00587702,0.425154716
8507,W05000292,Caersws,297302,296657,-3.51629996,52.55804062,0.012030838,0.646691465
8508,W05000293,Churchstoke,328772,293249,-3.05146003,52.53244019,0.006640803,0.557640751
8509,W05000294,Crickhowell,324277,223549,-3.10208988,51.90531158,0.010032335,0.633003558
8510,W05000295,Cwm-twrch,277053,212347,-3.78426003,51.79621887,0.00170528,0.283771685
8511,W05000296,Disserth and Trecoed,304753,257279,-3.39522004,52.20547867,0.004104069,0.423227106
8512,W05000297,Dolforwyn,315110,295861,-3.25347996,52.55395889,0.006337448,0.634025759
8513,W05000298,Felin-fâch,307372,234313,-3.35066009,51.99951172,0.012398151,0.683024985
8514,W05000299,Forden,324167,303207,-3.12160993,52.62131882,0.004631291,0.447911556
8515,W05000300,Glantwymyn,278841,299509,-3.78952003,52.57986069,0.029416177,1.29361205
8516,W05000301,Glasbury,315429,244942,-3.23596001,52.09632874,0.016666072,0.69810791
8517,W05000302,Guilsfield,316786,309257,-3.23214006,52.67461014,0.00769198,0.714087147
8518,W05000303,Gwernyfed,321373,237621,-3.14752007,52.03139877,0.00915471,0.528665912
8519,W05000304,Hay,322505,241957,-3.13200998,52.07054138,0.000215461,0.081459952
8520,W05000305,Kerry,315083,288240,-3.25193,52.48545837,0.011706085,0.723478619
8521,W05000306,Knighton,329979,271594,-3.02911997,52.33795166,0.003403637,0.393613994
8522,W05000307,Llanafanfawr,293940,258606,-3.55380988,52.21543121,0.029396767,1.334908868
8523,W05000308,Llanbadarn Fawr,311844,263298,-3.29305005,52.26076126,0.0068142,0.548036568
8524,W05000309,Llanbrynmair,289763,303182,-3.62963009,52.61520004,0.017188455,0.874895444
8525,W05000310,Llandinam,302854,285239,-3.43109012,52.45643997,0.012800011,0.691379581
8526,W05000311,Llandrindod East/Llandrindod West,305745,261339,-3.38183999,52.24214172,0.000133495,0.07282793
8527,W05000312,Llandrindod North,307135,262418,-3.36178994,52.25207901,0.000464692,0.131623613
8528,W05000313,Llandrindod South,306657,260675,-3.36830997,52.23632813,0.001071041,0.202182679
8529,W05000314,Llandrinio,328835,315218,-3.05526996,52.7299118,0.005868225,0.604996008
8530,W05000315,Llandysilio,325955,319911,-3.09896994,52.77170181,0.00251416,0.439721932
8531,W05000316,Llanelwedd,309847,252617,-3.31945992,52.16444016,0.015515778,0.755086568
8532,W05000317,Llanfair Caereinion,308218,307280,-3.35827994,52.65546036,0.008234764,0.55450385
8533,W05000318,Llanfihangel,307907,314617,-3.36492991,52.72135162,0.01000796,0.672152425
8534,W05000319,Llanfyllin,311201,320470,-3.31775999,52.7745018,0.005562941,0.463165482
8535,W05000320,Llangattock,319463,216632,-3.17043996,51.84246063,0.004097724,0.303012028
8536,W05000321,Llangors,313485,227162,-3.25983,51.93621826,0.004829746,0.395844824
8537,W05000322,Llangunllo,318561,269622,-3.19619012,52.31864166,0.017280491,1.019743472
8538,W05000324,Llanidloes,295300,284666,-3.54204011,52.44989014,0.000721111,0.15538583
8539,W05000325,Llanwddyn,300386,323137,-3.47884011,52.79658127,0.022317521,0.778526814
8540,W05000326,Llanrhaeadr-ym-Mochnant/Llansilin,314796,327993,-3.26644993,52.84268951,0.019650666,0.98629755
8541,W05000327,Llansantffraid,320003,320110,-3.1872201,52.77264023,0.005573438,0.504283035
8542,W05000328,Llanwrtyd Wells,289070,249348,-3.62204003,52.13127136,0.031471782,1.1000771
8543,W05000329,Llanyre,303031,261387,-3.42159009,52.24209976,0.003930749,0.407593618
8544,W05000330,Machynlleth,274588,300698,-3.8527,52.58958054,0.000672002,0.157433064
8545,W05000331,Maescar/Llywel,287912,227934,-3.6319201,51.938591,0.03325418,1.113964162
8546,W05000332,Meifod,316678,314001,-3.23494005,52.71723175,0.008037619,0.622927144
8547,W05000333,Montgomery,321875,296914,-3.15398002,52.56443024,0.002330703,0.280788536
8548,W05000334,Nantmel,300499,270799,-3.46144009,52.32624054,0.024734387,0.957644416
8549,W05000335,Newtown Central,310100,291046,-3.32605004,52.50988007,0.000119746,0.069637484
8550,W05000336,Newtown East,311833,290949,-3.30049992,52.50928879,0.001056649,0.203744607
8551,W05000337,Newtown Llanllwchaiarn North,312385,293300,-3.29298997,52.53050995,0.000896831,0.162071923
8552,W05000338,Newtown Llanllwchaiarn West,309214,292542,-3.33950996,52.52317047,0.001080466,0.190985804
8553,W05000339,Newtown South,309757,289993,-3.33082008,52.50035095,0.000397953,0.101987845
8554,W05000340,Old Radnor,322205,256929,-3.13981009,52.20507813,0.020204432,0.994327141
8555,W05000341,Presteigne,331387,268308,-3.00779009,52.30858994,0.003288179,0.462998146
8556,W05000342,Rhayader,288671,269583,-3.63453007,52.31304169,0.018385479,0.832154296
8557,W05000343,Rhiwcynon,306814,297708,-3.3763299,52.56919861,0.01448946,0.887392878
8558,W05000344,St. David Within,303419,227940,-3.40643001,51.94155121,0.000423632,0.134052285
8559,W05000345,St. John,304062,229502,-3.39751005,51.95569992,0.000300886,0.112132838
8560,W05000346,St. Mary,305761,228666,-3.37257004,51.9484787,0.000726877,0.135332446
8561,W05000347,Talgarth,317733,230877,-3.19895005,51.97026062,0.007232745,0.507374534
8562,W05000349,Tawe-Uchaf,290421,213436,-3.5908401,51.8087883,0.014659604,0.766254676
8563,W05000350,Trewern,327715,309509,-3.07059002,52.67845154,0.004273632,0.411201935
8564,W05000351,Welshpool Castle,320788,304859,-3.17191005,52.63568878,0.002377422,0.266676152
8565,W05000352,Welshpool Gungrog,323904,309345,-3.12690997,52.67644882,0.001869605,0.28534437
8566,W05000353,Welshpool Llanerchyddol,321241,308210,-3.16601992,52.66587067,0.000924588,0.176894893
8567,W05000354,Ynyscedwyn,278206,208769,-3.76628995,51.76432037,0.000494888,0.100874919
8568,W05000355,Yscir,297401,235414,-3.49618006,52.00764847,0.020099588,0.831781054
8569,W05000356,Ystradgynlais,279988,216003,-3.74298,51.8297081,0.003725703,0.424639653
8570,W05000357,Aberaeron,245879,262534,-4.25858021,52.23936844,0.000208453,0.108797311
8571,W05000358,Aberporth,225585,250368,-4.5492301,52.1240387,0.002160918,0.29367832
8572,W05000359,Aberteifi/Cardigan-Mwldan,218647,247769,-4.6490798,52.09846878,0.000802483,0.175715002
8573,W05000360,Aberteifi/Cardigan-Rhyd-y-Fuwch,219373,246731,-4.63793993,52.08937836,0.000267857,0.108225734
8574,W05000361,Aberteifi/Cardigan-Teifi,217559,244713,-4.66331005,52.07065964,0.000624394,0.207997046
8575,W05000362,Aberystwyth Bronglais,259115,281630,-4.07287979,52.4144783,7.42E-05,0.050955951
8576,W05000363,Aberystwyth Canol/Central,258574,281617,-4.08082008,52.41423035,3.94E-05,0.036616935
8577,W05000364,Aberystwyth Gogledd/North,259066,282600,-4.0740099,52.42319107,0.000230033,0.07764264
8578,W05000365,Aberystwyth Penparcau,258994,280113,-4.07401991,52.40082169,0.000251165,0.097211162
8579,W05000366,Aberystwyth Rheidol,258459,280828,-4.08218002,52.40710831,0.000109609,0.103163916
8580,W05000367,Beulah,227656,245248,-4.51641989,52.07870102,0.006637053,0.475288101
8581,W05000368,Borth,261994,288177,-4.0332799,52.47404099,0.003372968,0.375212303
8582,W05000369,Capel Dewi,242647,245415,-4.29792976,52.08467102,0.007974486,0.576081566
8583,W05000370,Ceulanamaesmawr,268865,290699,-3.93318009,52.4983902,0.016887852,1.064098979
8584,W05000371,Ciliau Aeron,248865,259266,-4.21341991,52.21083832,0.005269925,0.500213855
8585,W05000372,Faenor,261398,282278,-4.0395999,52.42089081,0.000835341,0.178155101
8586,W05000373,Lampeter,257474,248641,-4.08304977,52.11766815,0.001659821,0.25626181
8587,W05000374,Llanarth,243371,255050,-4.29181004,52.17142868,0.006036912,0.506359086
8588,W05000375,Llanbadarn Fawr-Padarn,260865,280805,-4.04682016,52.40752029,0.00027918,0.109658836
8589,W05000376,Llanbadarn Fawr-Sulien,259512,280974,-4.06677008,52.40869141,0.000134461,0.064084507
8590,W05000377,Llandyfriog,234788,241894,-4.41082001,52.05075073,0.003909531,0.460194491
8591,W05000378,Llandysilio-gogo,240152,250933,-4.33690023,52.13351822,0.008760705,0.770743828
8592,W05000379,Llandysul Town,240911,241551,-4.32145023,52.04946136,0.000771727,0.158070116
8593,W05000380,Llanfarian,259556,276944,-4.06443024,52.37250137,0.004423139,0.465604417
8594,W05000381,Llanfihangel Ystrad,253259,254555,-4.14712,52.16970062,0.009736597,0.715824798
8595,W05000382,Llangeitho,270405,255839,-3.8970499,52.18553162,0.019941846,1.122008714
8596,W05000383,Llangybi,261170,251649,-4.03033018,52.14564133,0.009564311,0.662668562
8597,W05000384,Llanrhystyd,257368,269440,-4.09335995,52.30450821,0.007862298,0.54172108
8598,W05000385,Llansantffraed,253029,264241,-4.15468979,52.25666046,0.007917281,0.539587006
8599,W05000386,Llanwenog,250951,247246,-4.17763996,52.10342026,0.008982829,0.623139716
8600,W05000387,Lledrod,271653,267553,-3.88326001,52.29108047,0.029460909,1.340576651
8601,W05000388,Melindwr,274455,282084,-3.84764004,52.42229843,0.026379189,1.207613042
8602,W05000389,New Quay,239131,259360,-4.35581017,52.20891953,0.000303265,0.097991182
8603,W05000390,Penbryn,231761,251428,-4.45963001,52.13547897,0.00699043,0.550619256
8604,W05000391,Pen-parc,222675,247587,-4.59024,52.09814072,0.006228106,0.63345572
8605,W05000392,Tirymynach,261291,285095,-4.0423398,52.44617081,0.001920018,0.303018319
8606,W05000393,Trefeurig,267394,283782,-3.95208001,52.4358902,0.003460927,0.404277881
8607,W05000394,Tregaron,272242,257553,-3.87084007,52.2013588,0.011366358,0.900844886
8608,W05000395,Troedyraur,235248,246122,-4.40615988,52.088871,0.004272139,0.405765857
8609,W05000396,Ystwyth,264801,274554,-3.98646998,52.3523407,0.009388728,0.698782978
8610,W05000400,Carew,205590,203472,-4.81448984,51.69623947,0.002909105,0.545739405
8611,W05000402,Clydau,223387,235556,-4.57363987,51.99031067,0.008629466,0.510531912
8612,W05000406,Fishguard North East,196507,237085,-4.96550989,51.99483871,0.00028925,0.148532302
8613,W05000407,Fishguard North West,195265,236681,-4.98333979,51.9907608,0.000218838,0.083142151
8614,W05000408,Goodwick,194799,239393,-4.99174023,52.01493073,0.000480178,0.191606946
8615,W05000409,Haverfordwest: Castle,195252,215820,-4.97113991,51.80344009,8.88E-05,0.056324276
8616,W05000410,Haverfordwest: Garth,194356,216521,-4.98452997,51.8094101,0.00024253,0.107651356
8617,W05000413,Haverfordwest: Priory,194067,214630,-4.98758984,51.79232025,0.000259737,0.137542446
8618,W05000414,Hundleton,194641,198295,-4.96964979,51.64585876,0.012439279,1.051299846
8619,W05000415,Johnston,191667,211705,-5.02058983,51.76517105,0.003256121,0.36138421
8620,W05000417,Lampeter Velfrey,215601,214359,-4.67557001,51.79740143,0.005946446,0.490473081
8621,W05000418,Lamphey,201296,201683,-4.87552023,51.67868042,0.003159354,0.408080799
8622,W05000419,Letterston,193318,227045,-5.00585985,51.90351868,0.007689185,0.572588784
8623,W05000421,Llanrhian,186206,230687,-5.11134005,51.9335289,0.006884901,0.728875397
8624,W05000422,Maenclochog,210514,225556,-4.75539017,51.89625931,0.016133575,0.825882813
8625,W05000423,Manorbier,206615,199828,-4.79764986,51.66387177,0.00321329,0.40087774
8626,W05000425,Merlin's Bridge,195136,213782,-4.97161007,51.78509903,0.000880793,0.192549179
8627,W05000426,Milford: Central,190667,205822,-5.03151989,51.71197891,8.72E-05,0.062759932
8628,W05000427,Milford: East,192204,206054,-5.00943995,51.71463013,0.000644389,0.14773724
8629,W05000428,Milford: Hakin,189714,205815,-5.04528999,51.7115593,8.61E-05,0.059407625
8630,W05000429,Milford: Hubberston,188883,206915,-5.05796003,51.72111893,0.000634953,0.139551232
8631,W05000430,Milford: North,191385,207520,-5.02216005,51.72748947,0.000448961,0.129069135
8632,W05000431,Milford: West,190445,206615,-5.03520012,51.71902084,9.51E-05,0.067671233
8633,W05000432,Narberth,211045,214639,-4.7417202,51.79840088,0.000115346,0.071097913
8634,W05000433,Narberth Rural,210592,212348,-4.74702978,51.77767181,0.003301502,0.480063271
8635,W05000434,Newport,205182,237698,-4.83967018,52.00344849,0.002314877,0.263887617
8636,W05000435,Neyland: East,196342,205736,-4.94944,51.71329117,0.000167829,0.064329476
8637,W05000436,Neyland: West,194610,206577,-4.97496986,51.72021103,0.001427909,0.203324584
8638,W05000437,Pembroke Dock: Central,196788,203697,-4.94180012,51.69514847,4.58E-05,0.04313622
8639,W05000438,Pembroke Dock: Llanion,197769,203656,-4.92760992,51.69512939,0.000335065,0.101567241
8640,W05000439,Pembroke Dock: Market,196074,203462,-4.95198011,51.69277954,0.000161434,0.099264384
8641,W05000440,Pembroke Dock: Pennar,196181,202589,-4.94993019,51.68497849,0.000278185,0.118144273
8642,W05000441,Pembroke: Monkton,197556,201113,-4.92921019,51.67221832,0.000179202,0.076423918
8643,W05000442,Pembroke: St. Mary North,198619,202129,-4.91444016,51.68172836,0.000207529,0.084633571
8644,W05000443,Pembroke: St. Mary South,198242,200959,-4.91920996,51.67108917,0.000164296,0.071616639
8645,W05000444,Pembroke: St. Michael,199349,200438,-4.90292978,51.66680145,0.00096624,0.157219383
8646,W05000447,St. David's,177197,227059,-5.23982,51.89743042,0.005949891,1.000952326
8647,W05000448,St. Dogmaels,209690,242351,-4.77666998,52.04679871,0.010290819,0.817526624
8648,W05000449,St. Ishmael's,180585,207121,-5.17804003,51.71979141,0.006097521,1.348485498
8649,W05000450,Saundersfoot,213098,205478,-4.70704985,51.71680832,0.000879565,0.150640163
8650,W05000451,Scleddau,191604,235889,-5.03609991,51.98228073,0.009300417,0.883893633
8651,W05000452,Solva,182995,225922,-5.15497017,51.88951111,0.00652985,0.584329075
8652,W05000454,Tenby: South,212712,200207,-4.70980978,51.66933823,0.000510113,0.277574746
8653,W05000455,The Havens,186033,212312,-5.10247993,51.76850128,0.005491906,0.461188663
8654,W05000456,Wiston,201386,221756,-4.88570023,51.8589592,0.009277242,0.661309461
8655,W05000457,Abergwili,245990,226145,-4.24052,51.91249084,0.00819895,0.555459125
8656,W05000458,Ammanford,262859,212088,-3.98986006,51.79058838,0.000230522,0.088044779
8657,W05000459,Betws,264506,211128,-3.96562004,51.78236008,0.001453303,0.225767091
8658,W05000460,Bigyn,252050,199873,-4.14127016,51.67808151,0.000304317,0.095923928
8659,W05000461,Burry Port,245163,201129,-4.24136019,51.68751144,0.000543126,0.191150621
8660,W05000463,Carmarthen Town North,241638,221569,-4.30164003,51.87015915,0.000733791,0.142171665
8661,W05000464,Carmarthen Town South,238347,219097,-4.3482399,51.84701157,0.000860248,0.312049705
8662,W05000465,Carmarthen Town West,238236,220512,-4.35051012,51.85969162,0.001129492,0.187373899
8663,W05000466,Cenarth,229413,236798,-4.48658991,52.0033493,0.006101109,0.571513588
8664,W05000467,Cilycwm,271713,237094,-3.87087011,52.01739883,0.016700834,1.010880679
8665,W05000468,Cynwyl Elfed,237360,227243,-4.36639977,51.91989899,0.015621854,0.923438449
8666,W05000469,Cynwyl Gaeo,264969,242116,-3.97107005,52.06092072,0.021347345,0.977728425
8667,W05000470,Dafen,252962,201470,-4.12875986,51.69266891,0.000314086,0.10854635
8668,W05000471,Elli,250225,200532,-4.16793013,51.68352127,0.000126991,0.06199663
8669,W05000472,Felinfoel,251299,202786,-4.1533699,51.7040596,0.000309119,0.125302872
8670,W05000473,Garnant,269062,213478,-3.90050006,51.80456924,0.001979821,0.295090989
